pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
pompilio2018.pdf,3950,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-1,pompilio2018:rule-1,"fmicb-09-01349 July3,2018 Time:18:40 #8 Pompilioetal.",synergy.text_rules,0.58
pompilio2018.pdf,3951,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-2,pompilio2018:rule-2,"fmicb-09-01349 July3,2018 Time:18:40 #8 Pompilioetal. SilverNanoparticlesAgainstCFBacterialPathogens periplasmic space, then moved to the cytoplasm in lysed cells wasobservedwithin2h-exposureat1×MIC.Contrarily,onlya (Figures5G–I).",synergy.text_rules,0.58
pompilio2018.pdf,3952,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-3,pompilio2018:rule-3,"SilverNanoparticlesAgainstCFBacterialPathogens periplasmic space, then moved to the cytoplasm in lysed cells wasobservedwithin2h-exposureat1×MIC.Contrarily,onlya (Figures5G–I). bacteriostaticeffectwasobservedinS.aureus.Itisworthnoting thatagainstP.aeruginosaAgNPsexhibitedacomparable,oreven AgNPs Are Not Toxic to Galleria higher, antibacterial activity compared to Tobramycin, a first- mellonella Larvae lineantibioticforthetherapyofCFP.aeruginosainfections.The differenceinactionofAgNPsagainstGram-positiveandGram- AgNPs and Tobramycin were comparatively evaluated for negative bacteria might be attributed to the difference in their toxicityinG.mellonella,andresultsareshowninFigure6.Over cell wall composition – particularly in peptidoglycan structure the study period, the mortality rate ranged from 0 to 1.7% and andmembrane lipidscontents –whichacts asabarrier against from 8.3 to 11.7% following exposure to AgNPs, respectively, at 3.4 and 6.8 µg/ml, whereas no mortality was observed for penetrationofNPs(Hajipouretal.,2012).",synergy.text_rules,0.58
pompilio2018.pdf,3953,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-4,pompilio2018:rule-4,"e6.Over cell wall composition – particularly in peptidoglycan structure the study period, the mortality rate ranged from 0 to 1.7% and andmembrane lipidscontents –whichacts asabarrier against from 8.3 to 11.7% following exposure to AgNPs, respectively, at 3.4 and 6.8 µg/ml, whereas no mortality was observed for penetrationofNPs(Hajipouretal.,2012). In chronically infected CF patients, pathogens adapt to the Tobramycin.Nosignificantdifferenceswereobservedovertime highly stressed CF lung environment by forming biofilm, a inmortalityratebetweencontrolandtreatedlarvae,regardlessof sessilemono-orpoly-microbialcommunityembeddedinanEPS AgNPsorTobramycinconcentrationstested,andfoundbetween matrix and inherently resistant both to antibiotic therapy and AgNPsandTobramycin.",synergy.text_rules,0.58
pompilio2018.pdf,3954,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-5,pompilio2018:rule-5,"osignificantdifferenceswereobservedovertime highly stressed CF lung environment by forming biofilm, a inmortalityratebetweencontrolandtreatedlarvae,regardlessof sessilemono-orpoly-microbialcommunityembeddedinanEPS AgNPsorTobramycinconcentrationstested,andfoundbetween matrix and inherently resistant both to antibiotic therapy and AgNPsandTobramycin. host immune response.",synergy.text_rules,0.58
pompilio2018.pdf,3955,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-6,pompilio2018:rule-6,"host immune response. In particular, biofilm-mediated chronic P.aeruginosainfectionsrepresentthemajorfactorleadingtothe DISCUSSION increasedmorbidityratesandprematuredeathseeninpatients with CF (Høiby et al., 2010).",synergy.text_rules,0.58
pompilio2018.pdf,3956,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-7,pompilio2018:rule-7,"In particular, biofilm-mediated chronic P.aeruginosainfectionsrepresentthemajorfactorleadingtothe DISCUSSION increasedmorbidityratesandprematuredeathseeninpatients with CF (Høiby et al., 2010). We, therefore, sought to assess Overall, the present study provides the experimental proof that theactivityofAgNPsatsupra-inhibitoryconcentrationsagainst AgNPshavethepotentialforaneffectivetherapeuticagentforthe already established biofilms.",synergy.text_rules,0.58
pompilio2018.pdf,3957,Ag,Staphylococcus aureus,Tobramycin,viability (%),,8.5,,,8,,text-8,pompilio2018:rule-8,"We, therefore, sought to assess Overall, the present study provides the experimental proof that theactivityofAgNPsatsupra-inhibitoryconcentrationsagainst AgNPshavethepotentialforaneffectivetherapeuticagentforthe already established biofilms. Our results indicated that AgNPs treatmentoflunginfectionscausedbyGram-negativeantibiotic- are able to reduce significantly the viability of mature biofilm resistantpathogensinCFpatients.",synergy.text_rules,0.58
pompilio2018.pdf,3958,Ag,Staphylococcus aureus,Tobramycin,viability (%),,8.5,,,8,,text-9,pompilio2018:rule-9,"Our results indicated that AgNPs treatmentoflunginfectionscausedbyGram-negativeantibiotic- are able to reduce significantly the viability of mature biofilm resistantpathogensinCFpatients. formed by all species tested, although to different extents.",synergy.text_rules,0.58
pompilio2018.pdf,3959,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-10,pompilio2018:rule-10,"formed by all species tested, although to different extents. The MIC and MBC values indicated good in vitro activity of anti-biofilm activity was particularly relevant against biofilms AgNPs against all the strains studied, although with striking preformed by P.",synergy.text_rules,0.58
pompilio2018.pdf,3960,Ag,Pseudomonas aeruginosa,Tobramycin,MIC,,8.5,,,8,,text-11,pompilio2018:rule-11,"The MIC and MBC values indicated good in vitro activity of anti-biofilm activity was particularly relevant against biofilms AgNPs against all the strains studied, although with striking preformed by P. aeruginosa and S.",synergy.text_rules,0.58
pompilio2018.pdf,3961,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-12,pompilio2018:rule-12,"aeruginosa and S. aureus, whose viability was differences.InagreementwithZhangetal.(2015),wefoundthat reducedofatleast98%alreadyatconcentrationscorresponding P.aeruginosaandB.cepacia,themostharmfulpathogensinCF to2×MIC(8.5µg/ml).Interestingly,inthecaseofP.aeruginosa, patients,werethemostsusceptibletoAgNPsexposure,whereasa the activity exhibited by AgNPs was comparable to that of significantlyloweractivitywasfoundagainstS.aureus.Time-kill Tobramycin.",synergy.text_rules,0.58
pompilio2018.pdf,3962,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-13,pompilio2018:rule-13,"educedofatleast98%alreadyatconcentrationscorresponding P.aeruginosaandB.cepacia,themostharmfulpathogensinCF to2×MIC(8.5µg/ml).Interestingly,inthecaseofP.aeruginosa, patients,werethemostsusceptibletoAgNPsexposure,whereasa the activity exhibited by AgNPs was comparable to that of significantlyloweractivitywasfoundagainstS.aureus.Time-kill Tobramycin. Loo et al.",synergy.text_rules,0.58
pompilio2018.pdf,3963,Ag,Staphylococcus aureus,Tobramycin,MIC,,8.5,,,8,,text-14,pompilio2018:rule-14,"Loo et al. (2014), using AgNPs with an average studiesshowedthattheeffectagainstGram-negativepathogens diameter of 8–10 nm, yielded a reduction of P.",synergy.text_rules,0.58
