pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
shamaila2016.pdf,5941,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,67.72,,,2,,text-1,shamaila2016:rule-1,"Nanomaterials2016,6, 71 2of10 surfaceplasmonresonance(SPR).TheSPRspectraofgoldNPshaveenormousapplicationsandhave drawngreatattentioninrecentyears[15,16]. Recently,ithasbeeninvestigatedthattheresistanceofvariousenterichumanpathogenicbacteria againstmanysyntheticdrugsisenhanceddaybyday[17].",synergy.text_rules,0.58
shamaila2016.pdf,5942,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,16,,,2,,text-2,shamaila2016:rule-2,"Recently,ithasbeeninvestigatedthattheresistanceofvariousenterichumanpathogenicbacteria againstmanysyntheticdrugsisenhanceddaybyday[17]. Somereportsontheantimicrobialactivity ofgoldNPsagainsthumanbacterialpathogenshavebeenpublishedearlier,buttheresultsarenot significantforthezoneofinhibitionforE.coliandS.aureuswhichobtainedonly7mmand16mm, respectively[3,18].",synergy.text_rules,0.58
shamaila2016.pdf,5943,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,16,,,2,,text-3,shamaila2016:rule-3,"Somereportsontheantimicrobialactivity ofgoldNPsagainsthumanbacterialpathogenshavebeenpublishedearlier,buttheresultsarenot significantforthezoneofinhibitionforE.coliandS.aureuswhichobtainedonly7mmand16mm, respectively[3,18]. Ourattentionisfocusedonevaluatingtheresultsagainsthumanpathogensofpure goldNPswithasmallsize;previously,nosignificantoutcomewithpuregoldnanoparticles(GNPs) hasbeendemonstrated.",synergy.text_rules,0.58
shamaila2016.pdf,5944,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,67.72,,,2,,text-4,shamaila2016:rule-4,"Ourattentionisfocusedonevaluatingtheresultsagainsthumanpathogensofpure goldNPswithasmallsize;previously,nosignificantoutcomewithpuregoldnanoparticles(GNPs) hasbeendemonstrated. Hence,itisanattempttoinvestigatetheefficiencyofpuregoldNPswitha precisedoseagainstentericbacteria,whichhaspreviouslynotbeenobtained.",synergy.text_rules,0.58
shamaila2016.pdf,5945,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,67.72,,,2,,text-5,shamaila2016:rule-5,"Hence,itisanattempttoinvestigatetheefficiencyofpuregoldNPswitha precisedoseagainstentericbacteria,whichhaspreviouslynotbeenobtained. Previously,theantibacterialactivityofnickelnanoparticlesagainstonetypeofbacterium(E.coli) hasbeeninvestigatedwiththeserialdilutionmethod[19].",synergy.text_rules,0.58
shamaila2016.pdf,5946,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,67.72,,,2,,text-6,shamaila2016:rule-6,"Previously,theantibacterialactivityofnickelnanoparticlesagainstonetypeofbacterium(E.coli) hasbeeninvestigatedwiththeserialdilutionmethod[19]. Inthepresentproject,nanometric-sized goldnanoparticlesweresynthesizedbyaneasyandcost-effectivechemicalreductionprocess.",synergy.text_rules,0.58
shamaila2016.pdf,5947,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,67.72,,,2,,text-7,shamaila2016:rule-7,"Inthepresentproject,nanometric-sized goldnanoparticlesweresynthesizedbyaneasyandcost-effectivechemicalreductionprocess. The main achievement of the current research is fabricating gold NPs of a small size by the reduction of NaBH instead of the familiar Turkevich method.",synergy.text_rules,0.58
shamaila2016.pdf,5948,nanoparticle,Escherichia coli,NOT_DETECTED,MIC,,67.72,,,2,,text-8,shamaila2016:rule-8,"The main achievement of the current research is fabricating gold NPs of a small size by the reduction of NaBH instead of the familiar Turkevich method. Different doses of these NPs were 4 utilizedtochecktheantibacterialmechanismagainstfourhumanpathogenbacteria: E.coli,S.aureus, B.subtilisandKlebsiellapneumonia.",synergy.text_rules,0.58
shamaila2016.pdf,5949,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,67.72,,,2,,text-9,shamaila2016:rule-9,"Different doses of these NPs were 4 utilizedtochecktheantibacterialmechanismagainstfourhumanpathogenbacteria: E.coli,S.aureus, B.subtilisandKlebsiellapneumonia. Then,fromthesedoses,thezonesofinhibitionwerestudiedbythe Agarwelldiffusionmethod.",synergy.text_rules,0.58
shamaila2016.pdf,5950,nanoparticle,Escherichia coli,NOT_DETECTED,disc_diffusion,,67.72,,,2,,text-10,shamaila2016:rule-10,"Then,fromthesedoses,thezonesofinhibitionwerestudiedbythe Agarwelldiffusionmethod. 2.",synergy.text_rules,0.58
