pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
shaker2017.pdf,5775,nanoparticle,NOT_DETECTED,Amoxicillin,ZOI,,,10,,3,,text-1,shaker2017:rule-1,"Meanwhile, work in this area is still ongoing and scientists are still trying to figure out the most effective approach to resolve the aforementioned problem. In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014;",synergy.text_rules,0.58
shaker2017.pdf,5776,nanoparticle,NOT_DETECTED,Ampicillin,ZOI,,,10,,3,,text-1,shaker2017:rule-2,"Meanwhile, work in this area is still ongoing and scientists are still trying to figure out the most effective approach to resolve the aforementioned problem. In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014;",synergy.text_rules,0.58
shaker2017.pdf,5777,nanoparticle,NOT_DETECTED,Chloramphenicol,ZOI,,,10,,3,,text-1,shaker2017:rule-3,"Meanwhile, work in this area is still ongoing and scientists are still trying to figure out the most effective approach to resolve the aforementioned problem. In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014;",synergy.text_rules,0.58
shaker2017.pdf,5778,nanoparticle,NOT_DETECTED,Ciprofloxacin,ZOI,,,10,,3,,text-1,shaker2017:rule-4,"Meanwhile, work in this area is still ongoing and scientists are still trying to figure out the most effective approach to resolve the aforementioned problem. In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014;",synergy.text_rules,0.58
shaker2017.pdf,5779,nanoparticle,NOT_DETECTED,Amoxicillin,ZOI,,,10,,3,,text-2,shaker2017:rule-5,"In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014; Pei and Yeo,2015).These metallicnanoparticlesincluding the use ofgold (Brown et al., 2012;",synergy.text_rules,0.58
shaker2017.pdf,5780,nanoparticle,NOT_DETECTED,Ampicillin,ZOI,,,10,,3,,text-2,shaker2017:rule-6,"In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014; Pei and Yeo,2015).These metallicnanoparticlesincluding the use ofgold (Brown et al., 2012;",synergy.text_rules,0.58
shaker2017.pdf,5781,nanoparticle,NOT_DETECTED,Chloramphenicol,ZOI,,,10,,3,,text-2,shaker2017:rule-7,"In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014; Pei and Yeo,2015).These metallicnanoparticlesincluding the use ofgold (Brown et al., 2012;",synergy.text_rules,0.58
shaker2017.pdf,5782,nanoparticle,NOT_DETECTED,Ciprofloxacin,ZOI,,,10,,3,,text-2,shaker2017:rule-8,"In such an attempt, one of the most recently used strategies for effective antibiotic delivery is achieved by conjugating the antibiotic with metallic nanoparticles, relying on the surface functionalized nano-carrier as the predominant mechanism for achieving intracel- lular delivery of antibacterial agents (Brooks and Brooks, 2014; Pei and Yeo,2015).These metallicnanoparticlesincluding the use ofgold (Brown et al., 2012;",synergy.text_rules,0.58
shaker2017.pdf,5783,Au,NOT_DETECTED,Amoxicillin,ZOI,,,10,,3,,text-3,shaker2017:rule-9,"Among all of those, gold nanoparticles are considered the most attractive one for numerous reasons. They are friendly with human body and rapidly prepared in different shapes and sizes, so can be tailored for intra/extracellular antimicrobial delivery applications (Vigderman and Zubarev, 2013).",synergy.text_rules,0.58
shaker2017.pdf,5784,Au,NOT_DETECTED,Ampicillin,ZOI,,,10,,3,,text-3,shaker2017:rule-10,"Among all of those, gold nanoparticles are considered the most attractive one for numerous reasons. They are friendly with human body and rapidly prepared in different shapes and sizes, so can be tailored for intra/extracellular antimicrobial delivery applications (Vigderman and Zubarev, 2013).",synergy.text_rules,0.58
