pdf,article_id,compound_id,smiles,target_type,target_relation,target_value,target_units,bacteria,page,evidence_id,source_kind,source_text,compound_mention,compound_label_found,extractor,confidence,raw_value,raw_units,normalized_value,normalized_units,duplicate_status,duplicate_count,value_mismatch
2023.12.si5a.0471.pdf,2023.12.si5a.0471,3D,NOT_DETECTED,pMIC,=,2,um,EC,6,rule-1,table_like_text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper protein to determine their anticancer potential. A QSAR models for antibacterial potential against series of heterocyclic molecules selected from the Escherichia Coli are as follows literature were prepared using maestro module. Correlation analysis was used in the initial Their 3D mol files were converted in the software study. The correlation matrix for antibacterial accepted .maegz file in Ligprep. Minimization of compounds' activity against Escherichia coli is all ligands was carried out using the OPLS force presented in Table 4. The colinearity (r > 0.8) field module [44, 45]. The search algorithm and between various variables was significant. The energy scoring function used in docking are used to correlation matrix showed that the topological generate and evaluate ligand poses within receptor index Balaban (r = 0.582, Eq. 1) (Table 4) was binding sites. [46]. used to define the antibacterial activity of benzimidazole derivatives. Grid Generation and Molecular Docking The preprocessed protein (1JIJ and 1KZN) was The equation comes out as: taken and the most...",not available,no,benzimidazole.rule_extractor,0.75,2,um,2,um,repeated_distinct_evidence,2,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,3D,NOT_DETECTED,pMIC,=,2,um,EC,6,rule-2,table_like_text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper protein to determine their anticancer potential. A QSAR models for antibacterial potential against series of heterocyclic molecules selected from the Escherichia Coli are as follows literature were prepared using maestro module. Correlation analysis was used in the initial Their 3D mol files were converted in the software study. The correlation matrix for antibacterial accepted .maegz file in Ligprep. Minimization of compounds' activity against Escherichia coli is all ligands was carried out using the OPLS force presented in Table 4. The colinearity (r > 0.8) field module [44, 45]. The search algorithm and between various variables was significant. The energy scoring function used in docking are used to correlation matrix showed that the topological generate and evaluate ligand poses within receptor index Balaban (r = 0.582, Eq. 1) (Table 4) was binding sites. [46]. used to define the antibacterial activity of benzimidazole derivatives. Grid Generation and Molecular Docking The preprocessed protein (1JIJ and 1KZN) was The equation comes out as: taken and the most...",not available,no,benzimidazole.rule_extractor,0.75,2,um,2,um,repeated_distinct_evidence,2,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,4,NOT_DETECTED,pMIC,=,1,UM,EC,7,rule-3,text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper Table 4 Correlation matrix for antibacterial activity against Escherichia Coli pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO EC pMIC 1.00 EC µ -0.31 1.00 log P -0.40 0.10 1.00 MR -0.23 0.02 0.92 1.00 1χv -0.21 -0.03 0.87 0.99 1.00 3χ -0.09 0.00 0.48 0.67 0.76 1.00 3χv -0.21 0.19 0.59 0.76 0.80 0.92 1.00 κ1 -0.11 -0.09 0.86 0.98 0.99 0.71 0.73 1.00 Κα2 -0.06 -0.13 0.87 0.90 0.85 0.",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,6,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,4,NOT_DETECTED,pMIC,=,1,UM,EC,7,rule-4,text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper Table 4 Correlation matrix for antibacterial activity against Escherichia Coli pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO EC pMIC 1.00 EC µ -0.31 1.00 log P -0.40 0.10 1.00 MR -0.23 0.02 0.92 1.00 1χv -0.21 -0.03 0.87 0.99 1.00 3χ -0.09 0.00 0.48 0.67 0.76 1.00 3χv -0.21 0.19 0.59 0.76 0.80 0.92 1.00 κ1 -0.11 -0.09 0.86 0.98 0.99 0.71 0.73 1.00 Κα2 -0.06 -0.13 0.87 0.90 0.85 0.",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,6,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,4,NOT_DETECTED,pMIC,=,1,UM,EC,7,rule-5,text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper Table 4 Correlation matrix for antibacterial activity against Escherichia Coli pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO EC pMIC 1.00 EC µ -0.31 1.00 log P -0.40 0.10 1.00 MR -0.23 0.02 0.92 1.00 1χv -0.21 -0.03 0.87 0.99 1.00 3χ -0.09 0.00 0.48 0.67 0.76 1.00 3χv -0.21 0.19 0.59 0.76 0.80 0.92 1.00 κ1 -0.11 -0.09 0.86 0.98 0.99 0.71 0.73 1.00 Κα2 -0.06 -0.13 0.87 0.90 0.85 0.37 0.",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,6,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,4,NOT_DETECTED,pMIC,=,1,UM,EC,7,rule-6,text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper Table 4 Correlation matrix for antibacterial activity against Escherichia Coli pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO EC pMIC 1.00 EC µ -0.31 1.00 log P -0.40 0.10 1.00 MR -0.23 0.02 0.92 1.00 1χv -0.21 -0.03 0.87 0.99 1.00 3χ -0.09 0.00 0.48 0.67 0.76 1.00 3χv -0.21 0.19 0.59 0.76 0.80 0.92 1.00 κ1 -0.11 -0.09 0.86 0.98 0.99 0.71 0.73 1.00 Κα2 -0.06 -0.13 0.87 0.90 0.85 0.37 0.",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,6,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,4,NOT_DETECTED,pMIC,=,1,UM,EC,7,rule-7,text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper Table 4 Correlation matrix for antibacterial activity against Escherichia Coli pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO EC pMIC 1.00 EC µ -0.31 1.00 log P -0.40 0.10 1.00 MR -0.23 0.02 0.92 1.00 1χv -0.21 -0.03 0.87 0.99 1.00 3χ -0.09 0.00 0.48 0.67 0.76 1.00 3χv -0.21 0.19 0.59 0.76 0.80 0.92 1.00 κ1 -0.11 -0.09 0.86 0.98 0.99 0.71 0.73 1.00 Κα2 -0.06 -0.13 0.87 0.90 0.85 0.37 0.43 0.91 1.00 J 0.58 -0.38 -0.66 -0.60 -0.60",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,6,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,4,NOT_DETECTED,pMIC,=,1,UM,EC,7,rule-8,text,"QSAR, Molecular Docking, And ADME Studies Of Benzimidazole Derivatives As Antibacterial Agents Section A-Research Paper Table 4 Correlation matrix for antibacterial activity against Escherichia Coli pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO EC pMIC 1.00 EC µ -0.31 1.00 log P -0.40 0.10 1.00 MR -0.23 0.02 0.92 1.00 1χv -0.21 -0.03 0.87 0.99 1.00 3χ -0.09 0.00 0.48 0.67 0.76 1.00 3χv -0.21 0.19 0.59 0.76 0.80 0.92 1.00 κ1 -0.11 -0.09 0.86 0.98 0.99 0.71 0.73 1.00 Κα2 -0.06 -0.13 0.87 0.90 0.85 0.37 0.43 0.91 1.00 J 0.58 -0.38 -0.66 -0.60 -0.60",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,6,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,5,NOT_DETECTED,pMIC,=,1,UM,SA,7,rule-9,text,"used in the initial suggests that the equation is statistically study. The correlation matrix for antibacterial significant. compounds' activity against Staphylococcus The equation comes out as: aureus is presented in Table 5. The colinearity (r > 0.8) between various variables was significant. The pMIC = -0.376 3χ – 1.986 ( Eq. 5 ) sa initial correlation of r = 0.848 was found with the n= 30, r= 0.848, q2= 0.674, F= 2.398, SD= 0.135 topological parameters third-order molecular Table 5 Correlation matrix for antibacterial activity again Staphylococcus aureus pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUM",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,unique,1,no
2023.12.si5a.0471.pdf,2023.12.si5a.0471,0,NOT_DETECTED,pMIC,=,1,UM,SA,7,rule-10,text,"(r > 0.8) between various variables was significant. The pMIC = -0.376 3χ – 1.986 ( Eq. 5 ) sa initial correlation of r = 0.848 was found with the n= 30, r= 0.848, q2= 0.674, F= 2.398, SD= 0.135 topological parameters third-order molecular Table 5 Correlation matrix for antibacterial activity again Staphylococcus aureus pMIC µ log P MR 1χv 3χ 3χv κ1 Κα2 J LUMO SA pMIC 1.00 SA µ 0.14 1.00 log P -0.52 0.07 1.00 MR -0.71 -0.03 0.93 1.00 1χv -0.76 -0.10 0.88 0.99 1.00 3χ -0.84 -0.03 0.57 0.74 0.81 1.00 3χv -0.82 0.19 0.65 0.79 0.82 0.92 1.00 κ1 -0.73 -0.15 0.87 0.98 0.99 0.77 0.75 1.00 Κα2 -0.48 -0.17 0.86 0.91 0.87 0",not available,no,benzimidazole.rule_extractor,0.6,1,UM,1,UM,repeated_distinct_evidence,4,no
