pdf,sn,NP,bacteria,drug,method,value_drug,value_np,value_combined,FIC,page,table_id,row_id,evidence_id,source_text,extractor,confidence
burygin2009.pdf,1987,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-1,burygin2009:rule-1,"Preparation of a Gentamicin–NP Mixture We used an aqueous stock solution of gentamicin sulfate 0.4 (Fluka, Switzerland;",synergy.text_rules,0.58
burygin2009.pdf,1988,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-2,burygin2009:rule-2,"Preparation of a Gentamicin–NP Mixture We used an aqueous stock solution of gentamicin sulfate 0.4 (Fluka, Switzerland; activity, 636 U mg-1;",synergy.text_rules,0.58
burygin2009.pdf,1989,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-3,burygin2009:rule-3,"concentration, 4.5 mg mg-1). Immediately before being added to the culture medium or to the gel wells, the antibiotic solution was mixed 1:1 either with 2 mM K CO or with gold NPs 2 3 in the same solution.",synergy.text_rules,0.58
burygin2009.pdf,1990,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-4,burygin2009:rule-4,"Immediately before being added to the culture medium or to the gel wells, the antibiotic solution was mixed 1:1 either with 2 mM K CO or with gold NPs 2 3 in the same solution. In agar-well-diffusion experiments, 0.2 we also made a series of twofold dilutions of the free- gentamicin solution and of the gentamicin–NP mixture.",synergy.text_rules,0.58
burygin2009.pdf,1991,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-5,burygin2009:rule-5,"In agar-well-diffusion experiments, 0.2 we also made a series of twofold dilutions of the free- gentamicin solution and of the gentamicin–NP mixture. The formation of Au–Gm complex can be easily mon- itored by UV–Vis spectra (S-300 spectrophotometer, Analytik Jena, Germany).",synergy.text_rules,0.58
burygin2009.pdf,1992,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-6,burygin2009:rule-6,"The formation of Au–Gm complex can be easily mon- itored by UV–Vis spectra (S-300 spectrophotometer, Analytik Jena, Germany). The initial 16-nm gold colloid 0 exhibits well-known plasmon resonance near 520 nm.",synergy.text_rules,0.58
burygin2009.pdf,1993,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-7,burygin2009:rule-7,"The initial 16-nm gold colloid 0 exhibits well-known plasmon resonance near 520 nm. 400 600 800 1000 Immediately after addition of Gm, we observed drastic Wavelength, nm change in the colloid color from wine red to purple blue.",synergy.text_rules,0.58
burygin2009.pdf,1994,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-8,burygin2009:rule-8,"400 600 800 1000 Immediately after addition of Gm, we observed drastic Wavelength, nm change in the colloid color from wine red to purple blue. To follow such kinetics in detail, we decreased the con- centration of Gm 20 times (up to 0.05 lg mL-1) as com- pared tothe average concentration used inmicrobial assay (Table 1).",synergy.text_rules,0.58
burygin2009.pdf,1995,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-9,burygin2009:rule-9,"To follow such kinetics in detail, we decreased the con- centration of Gm 20 times (up to 0.05 lg mL-1) as com- pared tothe average concentration used inmicrobial assay (Table 1). The time-dependent UV–Vis spectra were recorded after mixing (1:1 v/v) Au colloid with Gm at timed interval 30 s (step, 1 s).",synergy.text_rules,0.58
burygin2009.pdf,1996,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-10,burygin2009:rule-10,1.Theappearanceofanewred-shiftedpeak serial dilutions were made. A 200-lL volume of the near 650–670 nm is a typical signature of a fast NPs resultant suspension was uniformly spread onto overnight- aggregation.,synergy.text_rules,0.58
burygin2009.pdf,1997,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-11,burygin2009:rule-11,"A 200-lL volume of the near 650–670 nm is a typical signature of a fast NPs resultant suspension was uniformly spread onto overnight- aggregation. Indeed, such a phenomenon has been descri- dried solid LB medium with a sterile spatula.",synergy.text_rules,0.58
burygin2009.pdf,1998,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-12,burygin2009:rule-12,"enumerated, and the mean values and maximal scatter in CFUs were determined. Bacterial Strain and Growth Conditions Microbial Assay E.",synergy.text_rules,0.58
burygin2009.pdf,1999,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-13,burygin2009:rule-13,Bacterial Strain and Growth Conditions Microbial Assay E. coli R12 obtained from this institute’s collection was used for thisstudy.The strain wasgrown inLuria–Bertani Antibacterial activity was studied by the agar-well-diffu- (LB) medium at 37 (cid:2)C.,synergy.text_rules,0.58
burygin2009.pdf,2000,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-14,burygin2009:rule-14,"coli R12 obtained from this institute’s collection was used for thisstudy.The strain wasgrown inLuria–Bertani Antibacterial activity was studied by the agar-well-diffu- (LB) medium at 37 (cid:2)C. All inoculation experiments used sion method, wherein a bacterial suspension was added to an overnight accumulation culture grown to stationary sterilenutrientagarat45 (cid:2)Candthemixturewassolidified phase in advance.",synergy.text_rules,0.58
burygin2009.pdf,2001,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-15,burygin2009:rule-15,"A 20-mL volume of the medium was 600 0.04. Bacterial growth was assessed by using the time- poured into a Petri dish (diameter, 90 mm) on a horizon- dependent absorbance curve.",synergy.text_rules,0.58
burygin2009.pdf,2002,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-16,burygin2009:rule-16,"Bacterial growth was assessed by using the time- poured into a Petri dish (diameter, 90 mm) on a horizon- dependent absorbance curve. The cell concentration was tally leveled surface.",synergy.text_rules,0.58
burygin2009.pdf,2003,nanoparticle,Escherichia coli,Gentamicin,MIC,,2,,,3,,text-17,burygin2009:rule-17,"After the medium had solidified, estimated by the turbidity-spectra method [54]. 4-mm-diameter wells were made in the agar (at six wells per dish) that were equidistant from one another and from CFU Enumeration the dish edge.",synergy.text_rules,0.58
